customer_id,age_group,customer_segment,spending_score,loyalty_tier,avg_order_value,purchase_frequency_30d,discount_affinity,city,state,delivery_zone,dark_store_id,date,day_of_week,is_weekend,hour,time_of_day,temperature_c,rainfall_mm,humidity_pct,weather_condition,festival,festival_flag,local_event_flag,product_id,product_name,brand,category,base_product,pack_size,mrp,unit_cost,unit_price,shelf_life_days,product_rating,review_count,negative_review_rate,product_popularity_score,trend_signal,trend_category,product_views_7d,product_views_30d,add_to_cart_count_7d,purchase_count_7d,previous_purchase_count,repeat_purchase_flag,days_since_last_purchase,sales_1d,sales_7d,sales_30d,historical_demand_30d,demand_trend_pct,demand_status,current_stock,minimum_stock,maximum_stock,stock_turnover_days,days_to_expiry,expiry_risk,stockout_flag,stockout_risk_pct,competitor_1_price,competitor_2_price,competitor_price_gap_pct,competitor_discount_pct,current_discount_pct,promotion_type,promotion_eligible,discount_cost,gross_margin_before_promo,expected_units_without_promo,expected_units_with_promo,expected_revenue_without_promo,expected_revenue_with_promo,expected_profit_without_promo,expected_profit_with_promo,profit_impact_pct,expected_inventory_reduction,clearance_priority_score,recommended_action,scenario
C11510,18-24,High_Value,13.1,,261.7,2,0.519,Visakhapatnam,Andhra Pradesh,VIS-Z6,VIS-DS8,2026-05-18,Monday,False,11,Afternoon,27.5,0.0,56.3,Clear/Cloudy,Diwali,1,0,P0120,Deodorant Large,FreshChoice,Personal Care,Deodorant,Large,130,82.17,108.93,5,3.5,4,0.323,48.63,Declining,,25,105,2,2,2,1,22,3,15,57,2.24,12.14,Stable,30,2,26,6.41,1,High,0,18.93,107.1,103.28,5.47,10,0,,1,0.0,26.76,2,2,217.86,217.86,53.52,53.52,-1.83,2,33.33,CLEARANCE,Near_Expiry
C05241,35-44,Budget,43.6,,484.74,8,0.523,Mumbai,Maharashtra,MUM-Z5,MUM-DS12,2026-04-17,Friday,False,0,Night,34.4,0.0,59.7,Clear/Cloudy,,0,0,P0014,Eggs Medium,UrbanBasket,Dairy & Breakfast,Eggs,Medium,45,35.46,42.38,3,3.21,40,0.41,54.38,Viral,Collectible Toy,42,126,5,2,0,0,62,5,27,92,6.02,24.96,Stable,25,6,58,4.08,1,Critical,1,14.55,45.56,40.44,4.8,10,10,,1,4.24,6.92,4,5,169.52,190.7,27.68,13.4,-53.28,5,45.0,CLEARANCE,High_Demand
C05674,25-34,Deal_Seeker,45.1,Platinum,567.37,5,0.46,Coimbatore,Tamil Nadu,COI-Z4,COI-DS7,2026-06-30,Tuesday,False,18,Evening,24.6,0.0,62.4,Clear/Cloudy,,0,0,P0075,Potato Large,NatureBest,Fruits & Vegetables,Potato,Large,35,20.64,30.43,90,3.44,33,0.288,48.49,Normal,,33,103,4,2,0,0,108,2,14,63,2.94,-4.55,Stable,7,5,16,2.3,50,Low,1,16.74,27.65,34.62,10.05,5,0,BOGO,1,0.0,9.79,2,2,60.86,60.86,19.58,19.58,-4.86,2,8.31,COMPETITIVE PRICE OFFER,High_Demand
C05666,35-44,Premium,30.5,Silver,375.86,2,0.547,Bengaluru,Karnataka,BEN-Z6,BEN-DS4,2026-04-24,Friday,False,9,Morning,35.3,21.0,87.1,Rain,,0,0,P0152,Soup Medium,PremiumSelect,Instant & Ready Food,Soup,Medium,200,160.93,190.88,7,3.49,31,0.353,44.69,Normal,,29,97,6,1,3,1,59,1,1,3,1.61,21.43,Stable,10,2,18,5.85,1,Critical,0,11.11,185.42,217.52,2.94,5,0,,1,0.0,29.95,0,0,0.0,0.0,0.0,0.0,-100.0,0,55.0,CLEARANCE,High_Demand
C08289,25-34,Premium,41.6,Silver,556.49,6,0.624,Bengaluru,Karnataka,BEN-Z4,BEN-DS9,2026-05-19,Tuesday,False,14,Afternoon,36.1,0.0,39.4,Hot,,0,0,P0046,Biscuits Small,QuickFresh,Snacks,Biscuits,Small,90,68.51,87.35,365,4.39,18,0.145,59.37,Normal,,34,166,1,1,9,0,93,1,5,21,0.8,1.79,Stable,2,2,9,2.22,364,Low,1,20.88,95.36,85.01,2.75,5,0,,0,0.0,18.84,1,1,87.35,87.35,18.84,18.84,-5.04,1,2.19,NO PROMOTION,Weekend_Surge
C02743,25-34,High_Value,72.8,Gold,798.25,3,0.363,Bengaluru,Karnataka,BEN-Z5,BEN-DS5,2026-04-28,Tuesday,False,5,Night,36.3,9.4,84.9,Rain,,0,0,P0155,Diapers Medium,LocalBrand,Baby Care,Diapers,Medium,130,80.41,122.5,90,3.79,11,0.285,57.3,Normal,,30,148,9,4,1,1,28,3,16,57,2.91,19.29,Stable,7,4,16,2.33,14,Low,1,27.32,112.4,137.36,8.99,20,0,,1,0.0,42.09,2,2,245.0,245.0,84.18,84.18,-1.17,2,9.33,NO PROMOTION,Weekend_Surge
C14036,45-54,Regular,56.9,Silver,643.16,7,0.79,Lucknow,Uttar Pradesh,LUC-Z2,LUC-DS4,2026-07-02,Thursday,False,3,Night,20.8,0.0,51.2,Clear/Cloudy,Ugadi,1,0,P0020,Cereal Medium,LocalBrand,Dairy & Breakfast,Cereal,Medium,75,41.13,64.12,60,3.3,36,0.339,64.7,Viral,Collectible Toy,42,177,6,3,4,0,20,4,23,93,4.33,5.8,Stable,11,4,29,2.48,37,Low,1,26.54,66.72,61.97,3.47,10,20,% Off,0,12.82,22.99,3,4,192.36,205.2,68.97,40.68,-41.86,4,7.34,NO PROMOTION,Normal
C12498,35-44,Occasional,86.4,Gold,834.26,4,0.714,Ahmedabad,Gujarat,AHM-Z3,AHM-DS11,2026-04-02,Thursday,False,15,Afternoon,28.9,0.0,61.9,Clear/Cloudy,,0,0,P0066,Apple Large,PremiumSelect,Fruits & Vegetables,Apple,Large,200,139.76,175.11,365,3.46,24,0.341,49.64,Emerging,Collectible Toy,34,116,5,2,4,0,58,2,9,29,3.43,29.91,Growing,5,4,36,4.82,196,Low,0,79.37,193.67,186.06,-5.89,15,10,,0,17.51,35.35,1,1,175.11,157.6,35.35,17.84,-50.92,1,17.36,REPLENISH / AVOID DISCOUNT,Stockout_Risk
C03493,18-24,Regular,14.2,,378.76,2,0.115,Coimbatore,Tamil Nadu,COI-Z5,COI-DS10,2026-05-19,Tuesday,False,20,Late Evening,33.1,0.0,63.6,Clear/Cloudy,,0,0,P0071,Onion Medium,UrbanBasket,Fruits & Vegetables,Onion,Medium,65,34.15,63.08,7,3.63,26,0.302,57.17,Normal,,30,145,1,0,0,0,102,2,19,68,3.36,18.91,Stable,9,5,19,2.6,5,Medium,1,15.6,63.34,71.16,-0.41,10,10,BOGO,0,6.31,28.93,3,4,189.24,227.08,86.79,90.48,3.06,4,16.17,NO PROMOTION,Normal
C10679,35-44,High_Value,40.9,Silver,416.3,6,0.062,Chennai,Tamil Nadu,CHE-Z1,CHE-DS5,2026-04-23,Thursday,False,0,Night,36.7,0.0,58.3,Hot,,0,0,P0162,Baby Wipes Large,NatureBest,Baby Care,Baby Wipes,Large,110,66.71,97.31,90,3.41,29,0.304,50.3,Normal,,26,118,3,0,3,1,45,1,7,35,3.71,-13.16,Stable,14,6,26,3.67,29,Low,0,9.17,95.31,102.79,2.1,25,0,,0,0.0,30.6,1,1,97.31,97.31,30.6,30.6,-3.16,1,22.91,NO PROMOTION,Normal
C07557,35-44,Regular,54.2,Silver,611.68,5,0.6,Bengaluru,Karnataka,BEN-Z4,BEN-DS14,2026-04-05,Sunday,True,6,Morning,33.6,16.6,75.5,Rain,Dussehra,1,0,P0134,Tissues Medium,ValueMart,Home Care,Tissues,Medium,250,140.09,222.01,30,4.29,14,0.076,48.79,Normal,,27,118,3,0,7,0,68,0,0,0,2.64,0.0,Stable,4,2,26,1.46,27,Low,0,0.0,241.53,216.92,2.35,5,0,,0,0.0,81.92,0,0,0.0,0.0,0.0,0.0,-100.0,0,10.5,NO PROMOTION,Normal
C10334,35-44,Premium,88.6,Gold,905.44,5,0.245,Nagpur,Maharashtra,NAG-Z2,NAG-DS8,2026-07-29,Wednesday,False,13,Afternoon,27.4,0.0,56.9,Clear/Cloudy,Ugadi,1,0,P0055,Popcorn Small,LocalBrand,Snacks,Popcorn,Small,160,115.02,138.69,90,3.45,16,0.315,49.39,Viral,Snacks,36,112,5,3,3,1,46,2,11,42,2.91,11.43,Stable,4,4,24,1.33,14,Low,1,24.87,129.23,145.46,7.32,0,0,BOGO,0,0.0,23.67,2,2,277.38,277.38,47.34,47.34,-2.07,2,7.33,NO PROMOTION,Rain_Demand
C13525,35-44,Regular,46.8,Gold,655.39,4,0.537,Pune,Maharashtra,PUN-Z4,PUN-DS8,2026-06-01,Monday,False,2,Night,26.8,27.2,96.7,Storm,,0,1,P0098,Salt Medium,NatureBest,Staples,Salt,Medium,130,74.06,107.13,180,3.93,21,0.124,47.58,Viral,Snacks,26,112,5,2,0,0,118,0,0,0,2.84,-63.79,Declining,9,5,24,3.06,68,Low,0,0.47,106.51,121.82,0.58,20,30,,0,32.14,33.07,0,0,0.0,0.0,0.0,0.0,-100.0,0,19.01,NO PROMOTION,Declining_Product
C07390,18-24,Premium,39.4,Gold,564.79,3,0.548,Bengaluru,Karnataka,BEN-Z6,BEN-DS2,2026-07-02,Thursday,False,16,Evening,31.8,0.0,47.6,Clear/Cloudy,Ganesh Chaturthi,1,0,P0160,Baby Wipes Small,UrbanBasket,Baby Care,Baby Wipes,Small,25,17.0,24.75,60,3.52,85,0.199,47.32,Normal,,24,106,2,1,2,0,103,1,6,22,1.7,14.86,Stable,3,3,14,1.67,33,Low,1,26.29,26.82,26.43,-6.36,10,15,% Off,0,3.71,7.75,1,1,24.75,21.04,7.75,4.04,-53.83,1,5.06,NO PROMOTION,Normal
C03722,45-54,Premium,13.4,Silver,353.29,6,0.59,Delhi,Delhi,DEL-Z5,DEL-DS11,2026-04-04,Saturday,True,14,Afternoon,37.9,0.0,65.2,Hot,Ugadi,1,0,P0085,Rice Small,NatureBest,Staples,Rice,Small,45,29.53,39.94,90,4.17,24,0.167,57.56,Viral,,87,142,5,2,2,1,44,2,20,91,5.19,-5.62,Stable,26,5,31,4.91,46,Low,0,4.83,43.69,42.86,-6.81,0,0,Bundle,1,0.0,10.41,3,3,119.82,119.82,31.23,31.23,-3.1,3,17.3,NO PROMOTION,Viral_Trend
C13376,25-34,High_Value,77.7,Platinum,735.94,7,0.69,Delhi,Delhi,DEL-Z3,DEL-DS11,2026-07-10,Friday,False,2,Night,37.2,0.0,58.0,Hot,Sankranti,1,0,P0074,Potato Medium,DailyBasket,Fruits & Vegetables,Potato,Medium,130,98.68,129.77,365,4.57,20,0.09,64.66,Normal,,38,165,8,6,3,0,26,5,35,148,7.0,1.32,Stable,38,11,49,5.35,8,Low,0,6.99,131.67,131.1,-1.01,15,10,% Off,1,12.98,31.09,5,6,648.85,700.74,155.45,108.66,-30.55,6,20.44,NO PROMOTION,High_Demand
C13041,18-24,Premium,51.1,Silver,578.42,4,0.257,Vijayawada,Andhra Pradesh,VIJ-Z2,VIJ-DS1,2026-07-24,Friday,False,10,Morning,24.7,0.0,50.3,Clear/Cloudy,,0,0,P0167,Pet Treats Medium,PremiumSelect,Pet Care,Pet Treats,Medium,90,50.37,85.9,365,3.46,29,0.344,40.57,Viral,Collectible Toy,23,77,3,2,0,0,83,0,0,1,0.86,-25.0,Stable,5,2,7,5.21,358,Low,0,0.0,76.14,77.74,12.82,0,0,Bundle,1,0.0,35.53,0,0,0.0,0.0,0.0,0.0,-100.0,0,22.69,COMPETITIVE PRICE OFFER,Low_Demand
C03854,25-34,Budget,53.6,,636.77,5,0.301,Kolkata,West Bengal,KOL-Z1,KOL-DS9,2026-05-08,Friday,False,4,Night,29.3,0.0,58.2,Clear/Cloudy,,0,0,P0072,Onion Large,DailyBasket,Fruits & Vegetables,Onion,Large,130,71.86,118.28,180,3.34,73,0.314,54.78,Normal,,35,134,4,3,1,1,18,2,16,64,3.82,6.82,Stable,18,7,35,2.3,1,Medium,1,19.97,104.44,113.3,13.25,0,0,% Off,1,0.0,46.42,2,2,236.56,236.56,92.84,92.84,-1.07,2,17.67,CLEARANCE,Near_Expiry
C10840,25-34,High_Value,31.3,,430.24,4,0.625,Pune,Maharashtra,PUN-Z4,PUN-DS14,2026-04-12,Sunday,True,11,Afternoon,26.5,0.0,55.0,Clear/Cloudy,,0,0,P0122,Sanitary Care Medium,NatureBest,Personal Care,Sanitary Care,Medium,90,49.55,78.31,30,2.98,102,0.37,43.55,Normal,,28,92,2,0,9,0,39,0,0,0,1.23,0.0,Stable,5,2,14,3.76,23,Low,0,3.11,74.74,80.24,4.78,10,25,,0,19.58,28.76,0,0,0.0,0.0,0.0,0.0,-100.0,0,12.92,REVIEW PRODUCT QUALITY,Low_Demand
C06994,35-44,High_Value,16.3,Silver,495.69,3,0.761,Lucknow,Uttar Pradesh,LUC-Z7,LUC-DS11,2026-05-08,Friday,False,21,Late Evening,24.0,8.6,67.5,Rain,Sankranti,1,0,P0086,Rice Medium,NatureBest,Staples,Rice,Medium,65,38.63,55.54,2,3.03,4,0.414,54.55,Normal,,28,138,3,0,3,0,25,1,9,40,2.84,-3.32,Stable,15,4,27,5.1,0,Critical,0,3.46,55.82,52.43,5.93,10,0,Coupon,1,0.0,16.91,1,1,55.54,55.54,16.91,16.91,-5.58,1,86.66,CLEARANCE,High_Demand
C14056,25-34,Occasional,16.8,Silver,327.06,2,0.471,Kochi,Kerala,KOC-Z2,KOC-DS7,2026-06-09,Tuesday,False,22,Late Evening,38.4,0.0,57.4,Hot,,0,0,P0035,Energy Drink Medium,QuickFresh,Beverages,Energy Drink,Medium,90,60.32,74.46,180,3.37,134,0.435,52.45,Normal,,27,134,2,0,0,0,37,1,4,10,1.96,54.95,Growing,16,3,17,3.88,2,Low,0,4.31,77.67,69.23,7.55,20,0,% Off,0,0.0,14.14,1,1,74.46,74.46,14.14,14.14,-6.61,1,8.42,CLEARANCE,Near_Expiry
C04557,25-34,Deal_Seeker,43.8,Platinum,597.49,5,0.672,Mumbai,Maharashtra,MUM-Z8,MUM-DS5,2026-06-11,Thursday,False,17,Evening,22.2,0.0,53.2,Clear/Cloudy,,0,1,P0139,Noodles Small,PremiumSelect,Instant & Ready Food,Noodles,Small,65,41.31,64.96,7,3.44,13,0.309,56.23,Normal,,26,114,4,3,1,1,5,6,48,191,7.17,7.58,Stable,15,12,85,2.06,7,Medium,1,21.13,71.46,63.31,2.61,0,5,% Off,0,3.25,23.65,7,8,454.72,493.68,165.55,163.2,-2.01,8,12.5,NO PROMOTION,Weekend_Surge
C14251,55+,Regular,52.7,Silver,670.64,4,0.196,Delhi,Delhi,DEL-Z8,DEL-DS11,2026-05-22,Friday,False,15,Afternoon,30.5,0.0,56.2,Clear/Cloudy,,0,0,P0143,Pasta Medium,PremiumSelect,Instant & Ready Food,Pasta,Medium,160,106.14,137.25,90,3.65,4,0.187,49.22,Viral,Snacks,33,97,6,4,2,1,3,3,22,108,6.27,-12.36,Stable,36,5,51,5.65,62,Low,0,12.4,148.56,154.67,-7.61,10,10,Coupon,0,13.72,31.11,3,4,411.75,494.12,93.33,69.56,-26.26,4,25.29,NO PROMOTION,Normal
C07491,18-24,Deal_Seeker,60.0,,673.47,8,0.637,Delhi,Delhi,DEL-Z1,DEL-DS4,2026-05-04,Monday,False,12,Afternoon,33.7,1.9,55.4,Clear/Cloudy,,0,0,P0018,Cheese Large,DailyBasket,Dairy & Breakfast,Cheese,Large,90,64.66,82.68,60,3.34,10,0.374,56.05,Normal,,36,136,7,2,6,1,60,3,21,84,4.12,6.9,Stable,10,6,42,2.37,56,Low,1,25.24,74.76,80.1,10.59,5,15,,1,12.4,18.02,3,4,248.04,281.12,54.06,22.48,-59.17,4,6.23,COMPETITIVE PRICE OFFER,Normal
C06150,35-44,Deal_Seeker,56.6,Platinum,643.29,4,0.442,Chennai,Tamil Nadu,CHE-Z3,CHE-DS4,2026-05-05,Tuesday,False,19,Evening,32.2,11.9,59.2,Rain,,0,0,P0118,Deodorant Small,DailyBasket,Personal Care,Deodorant,Small,400,257.95,389.34,5,3.39,10,0.24,49.14,Normal,,27,115,0,0,1,1,1,2,8,22,1.82,49.14,Growing,5,2,16,2.6,1,Critical,1,14.64,373.05,351.83,10.66,0,0,,1,0.0,131.39,1,1,389.34,389.34,131.39,131.39,-0.76,1,40.0,CLEARANCE,Normal
C08248,25-34,Regular,53.1,Silver,627.55,1,0.308,Lucknow,Uttar Pradesh,LUC-Z8,LUC-DS12,2026-04-18,Saturday,True,1,Night,24.7,0.0,55.8,Clear/Cloudy,,0,0,P0046,Biscuits Small,QuickFresh,Snacks,Biscuits,Small,90,68.51,86.08,365,3.13,98,0.431,48.3,Viral,,192,104,3,1,3,1,56,2,14,54,1.88,10.53,Stable,5,2,17,2.53,181,Low,1,27.18,79.15,80.36,8.76,15,5,% Off,1,4.3,17.57,2,2,172.16,163.56,35.14,26.54,-26.56,2,3.72,REVIEW PRODUCT QUALITY,Viral_Trend
C06802,25-34,Regular,49.0,,594.16,1,0.237,Delhi,Delhi,DEL-Z3,DEL-DS1,2026-07-05,Sunday,True,15,Afternoon,31.3,0.0,54.7,Clear/Cloudy,,0,0,P0057,Popcorn Large,ValueMart,Snacks,Popcorn,Large,200,121.19,170.92,60,3.73,15,0.234,47.49,Emerging,Beauty,34,103,5,3,1,1,55,3,10,40,1.89,6.64,Stable,7,2,12,3.52,38,Low,1,14.9,153.57,171.58,11.3,0,10,BOGO,1,17.09,49.73,1,1,170.92,153.83,49.73,32.64,-35.66,1,8.79,COMPETITIVE PRICE OFFER,Rain_Demand
C12125,25-34,Premium,29.8,Gold,569.89,2,0.136,Bengaluru,Karnataka,BEN-Z2,BEN-DS8,2026-07-10,Friday,False,3,Night,33.7,0.0,56.1,Clear/Cloudy,,0,0,P0037,Tea Small,UrbanBasket,Beverages,Tea,Small,90,47.18,80.52,15,3.41,383,0.264,56.39,Normal,,28,130,5,1,2,0,25,3,30,120,6.26,6.97,Stable,1,7,39,3.62,2,High,1,81.53,73.53,81.41,9.51,25,5,,1,4.03,33.34,4,5,322.08,382.45,133.36,146.55,9.07,5,32.53,REPLENISH / AVOID DISCOUNT,Stockout_Risk
C07513,45-54,Budget,36.1,Gold,509.96,4,0.093,Hyderabad,Telangana,HYD-Z5,HYD-DS4,2026-04-21,Tuesday,False,6,Morning,31.7,6.1,56.5,Rain,,0,0,P0090,Wheat Flour Large,UrbanBasket,Staples,Wheat Flour,Large,35,19.31,30.8,180,3.98,129,0.268,45.05,Viral,Snacks,27,96,3,1,0,0,67,1,5,16,1.34,28.57,Growing,4,2,11,2.78,12,Low,1,18.27,32.12,32.26,-4.11,0,0,Coupon,0,0.0,11.49,1,1,30.8,30.8,11.49,11.49,-8.01,1,9.38,NO PROMOTION,Normal
C02579,35-44,Occasional,81.3,Silver,791.14,3,0.422,Bengaluru,Karnataka,BEN-Z5,BEN-DS2,2026-04-14,Tuesday,False,13,Afternoon,30.9,0.0,44.3,Clear/Cloudy,,0,0,P0142,Pasta Small,DailyBasket,Instant & Ready Food,Pasta,Small,35,19.67,28.99,90,3.3,3,0.357,48.98,Normal,,26,111,5,1,1,1,48,2,8,37,2.05,-6.79,Stable,1,4,20,0.47,52,Low,1,38.51,31.57,31.82,-8.17,10,15,% Off,0,4.35,9.32,1,1,28.99,24.64,9.32,4.97,-51.84,1,5.72,NO PROMOTION,Rain_Demand
C10725,35-44,Budget,53.9,Silver,628.47,5,0.583,Mumbai,Maharashtra,MUM-Z5,MUM-DS10,2026-05-13,Wednesday,False,6,Morning,26.6,0.0,46.6,Clear/Cloudy,,0,0,P0072,Onion Large,DailyBasket,Fruits & Vegetables,Onion,Large,130,71.86,123.91,180,3.2,112,0.303,58.0,Normal,,34,126,7,1,5,1,28,8,51,176,8.12,23.78,Stable,43,6,63,5.23,71,Low,1,18.73,113.29,127.98,9.37,20,10,,1,12.39,52.05,7,9,867.37,1003.68,364.35,356.94,-2.3,9,11.72,NO PROMOTION,Normal
C08625,25-34,Regular,8.3,Gold,253.5,1,0.888,Bhubaneswar,Odisha,BHU-Z4,BHU-DS9,2026-07-23,Thursday,False,19,Evening,30.5,0.0,51.9,Clear/Cloudy,Holi,1,0,P0124,Detergent Small,LocalBrand,Home Care,Detergent,Small,55,29.46,49.12,90,4.04,27,0.176,44.47,Normal,,23,91,1,0,2,1,37,2,8,26,3.16,-30.0,Declining,4,6,22,1.23,23,Low,1,24.66,44.27,56.36,10.96,5,15,Coupon,1,7.37,19.66,1,1,49.12,41.75,19.66,12.29,-40.51,1,6.92,REACTIVATE / TEST OFFER,Declining_Product
